annee,km,marque,carburant,transmission,prix
2018,75000,Toyota,Diesel,Manuelle,145000
2020,30000,Toyota,Essence,Automatique,175000
2017,90000,Renault,Diesel,Manuelle,120000
2019,50000,Renault,Essence,Automatique,155000
2016,110000,Peugeot,Diesel,Manuelle,105000
2021,25000,Peugeot,Essence,Automatique,180000
2018,80000,Dacia,Diesel,Manuelle,95000
2020,40000,Dacia,Essence,Manuelle,115000
2019,60000,BMW,Diesel,Automatique,260000
2021,20000,BMW,Essence,Automatique,320000
2018,85000,Mercedes,Diesel,Automatique,280000
2020,35000,Mercedes,Essence,Automatique,340000
2017,100000,Audi,Diesel,Manuelle,210000
2019,55000,Audi,Essence,Automatique,290000
2016,120000,Ford,Diesel,Manuelle,98000
2018,70000,Ford,Essence,Manuelle,115000
2017,95000,Hyundai,Diesel,Manuelle,108000
2020,45000,Hyundai,Essence,Automatique,160000
2018,80000,Kia,Diesel,Manuelle,102000
2021,30000,Kia,Essence,Automatique,170000
2015,130000,Volkswagen,Diesel,Manuelle,115000
2019,60000,Volkswagen,Essence,Automatique,185000
2016,125000,Nissan,Diesel,Manuelle,110000
2020,42000,Nissan,Essence,Automatique,165000
2018,90000,Opel,Diesel,Manuelle,100000
2019,58000,Opel,Essence,Manuelle,130000
2017,105000,Seat,Diesel,Manuelle,108000
2020,36000,Seat,Essence,Automatique,155000
2016,140000,Skoda,Diesel,Manuelle,95000
2019,62000,Skoda,Essence,Automatique,145000
